,Fragment_selected,Monoisotopic_mass_fragment,Fragment_collision,Monoisotopic_mass_collision
Y[UNIMOD:35]->T[UNIMOD:728],Y[UNIMOD:35],179.058245,T[UNIMOD:728],179.03474599999998
H[UNIMOD:1]->Y[UNIMOD:35],H[UNIMOD:1],179.069475,Y[UNIMOD:35],179.058245
H[UNIMOD:1]->F[UNIMOD:425],H[UNIMOD:1],179.069475,F[UNIMOD:425],179.05823900000001
H[UNIMOD:1]->T[UNIMOD:728],H[UNIMOD:1],179.069475,T[UNIMOD:728],179.03474599999998
T[UNIMOD:40]->T[UNIMOD:21],T[UNIMOD:40],181.00449500000002,T[UNIMOD:21],181.01401099999998
T[UNIMOD:40]->S[UNIMOD:724],T[UNIMOD:40],181.00449500000002,S[UNIMOD:724],181.014011
T[UNIMOD:21]->S[UNIMOD:724],T[UNIMOD:21],181.01401099999998,S[UNIMOD:724],181.014011
T[UNIMOD:21]->T[UNIMOD:40],T[UNIMOD:21],181.01401099999998,T[UNIMOD:40],181.00449500000002
S[UNIMOD:724]->T[UNIMOD:21],S[UNIMOD:724],181.014011,T[UNIMOD:21],181.01401099999998
S[UNIMOD:724]->T[UNIMOD:40],S[UNIMOD:724],181.014011,T[UNIMOD:40],181.00449500000002
H[UNIMOD:56]->K[UNIMOD:319],H[UNIMOD:56],182.088305,K[UNIMOD:319],182.105525
H[UNIMOD:56]->K[UNIMOD:1881],H[UNIMOD:56],182.088305,K[UNIMOD:1881],182.105525
K[UNIMOD:319]->K[UNIMOD:1881],K[UNIMOD:319],182.105525,K[UNIMOD:1881],182.105525
K[UNIMOD:319]->H[UNIMOD:56],K[UNIMOD:319],182.105525,H[UNIMOD:56],182.088305
K[UNIMOD:1881]->K[UNIMOD:319],K[UNIMOD:1881],182.105525,K[UNIMOD:319],182.105525
K[UNIMOD:1881]->H[UNIMOD:56],K[UNIMOD:1881],182.105525,H[UNIMOD:56],182.088305
C[UNIMOD:423]->U[UNIMOD:425],C[UNIMOD:423],182.92571,U[UNIMOD:425],182.943469
C[UNIMOD:423]->C[UNIMOD:40],C[UNIMOD:423],182.92571,C[UNIMOD:40],182.966005
C[UNIMOD:423]->S[UNIMOD:260],C[UNIMOD:423],182.92571,S[UNIMOD:260],182.97551700000002
C[UNIMOD:423]->C[UNIMOD:21],C[UNIMOD:423],182.92571,C[UNIMOD:21],182.97552100000001
U[UNIMOD:425]->C[UNIMOD:40],U[UNIMOD:425],182.943469,C[UNIMOD:40],182.966005
U[UNIMOD:425]->S[UNIMOD:260],U[UNIMOD:425],182.943469,S[UNIMOD:260],182.97551700000002
U[UNIMOD:425]->C[UNIMOD:21],U[UNIMOD:425],182.943469,C[UNIMOD:21],182.97552100000001
U[UNIMOD:425]->C[UNIMOD:423],U[UNIMOD:425],182.943469,C[UNIMOD:423],182.92571
C[UNIMOD:40]->S[UNIMOD:260],C[UNIMOD:40],182.966005,S[UNIMOD:260],182.97551700000002
C[UNIMOD:40]->C[UNIMOD:21],C[UNIMOD:40],182.966005,C[UNIMOD:21],182.97552100000001
C[UNIMOD:40]->U[UNIMOD:425],C[UNIMOD:40],182.966005,U[UNIMOD:425],182.943469
C[UNIMOD:40]->C[UNIMOD:423],C[UNIMOD:40],182.966005,C[UNIMOD:423],182.92571
S[UNIMOD:260]->C[UNIMOD:21],S[UNIMOD:260],182.97551700000002,C[UNIMOD:21],182.97552100000001
S[UNIMOD:260]->C[UNIMOD:40],S[UNIMOD:260],182.97551700000002,C[UNIMOD:40],182.966005
